symbol,name,sector,vst_id,ret6m,dd_52w,eps_yoy,pat_yoy,ebitda_yoy,sales_yoy,arm,flow3m,buyers,sellers,absl,corr,deteriorating,rec,buy,quadrant
ACC,ACC Ltd.,Construction Materials,VST02028,-23.0,-32.3,-0.11031193808146356,-0.11111111111111116,-0.03626265926167915,0.17340328467153276,45.0,-165.3,2.0,8.0,True,True,True,False,False,Q4 Neither (NOT rec + NOT buy)
AWL,AWL Agri Business Ltd.,Fast Moving Consumer Goods,VST01290,-23.8,-34.4,-0.14861995753715507,-0.14763458401305052,-0.14107214832728743,0.17349999214861112,21.0,-174.4,4.0,2.0,False,True,True,False,False,Q4 Neither (NOT rec + NOT buy)
AEGISVOPAK,Aegis Vopak Terminals Ltd.,Oil Gas & Consumable Fuels,VST00358,-10.6,-21.0,-0.9903209373408048,0.7666666666666666,0.26543209876543217,0.25602409638554224,22.0,44.4,4.0,0.0,False,True,True,False,True,Q3 NOT recommending + Buying (FM ahead of street)
AFCONS,Afcons Infrastructure Ltd.,Construction,VST00487,-19.1,-32.7,-0.5010924981791697,-0.48665297741273106,-0.10184501845018445,-0.04781638508128783,6.0,-24.200000000000003,1.0,6.0,True,True,True,False,False,Q4 Neither (NOT rec + NOT buy)
ASAHIINDIA,Asahi India Glass Ltd.,Automobile and Auto Components,VST02165,-13.7,-19.6,-0.10798429319371716,-0.06504065040650409,0.19712793733681466,0.08596300326441786,26.0,38.1,2.0,0.0,True,True,True,False,True,Q3 NOT recommending + Buying (FM ahead of street)
AIIL,Authum Investment & Infrastructure Ltd.,Financial Services,VST00645,-3.7,-20.0,-0.5448538245895074,-0.5452616690240453,,-0.4302249399432191,,0.1,0.0,0.0,False,True,True,False,True,Q3 NOT recommending + Buying (FM ahead of street)
BALKRISIND,Balkrishna Industries Ltd.,Automobile and Auto Components,VST02244,-7.1,-19.4,-0.24891951874780982,-0.24954682779456194,-0.06466043106954045,0.03609036951943323,48.0,22.200000000000003,8.0,5.0,True,True,True,False,True,Q3 NOT recommending + Buying (FM ahead of street)
BATAINDIA,Bata India Ltd.,Consumer Durables,VST02266,-23.9,-43.9,-0.5940902021772939,-0.594114800701627,-0.040026086247656356,0.007658859712735389,31.0,-72.7,0.0,3.0,True,True,True,False,False,Q4 Neither (NOT rec + NOT buy)
BERGEPAINT,Berger Paints India Ltd.,Consumer Durables,VST02285,-1.5,-11.0,-0.0444664031620553,-0.047337278106508895,-0.012392241379310387,0.029016890428757103,33.0,146.9,17.0,3.0,True,True,True,False,True,Q3 NOT recommending + Buying (FM ahead of street)
BHARTIARTL,Bharti Airtel Ltd.,Telecommunication,VST02300,-10.9,-13.2,-0.21918505942275035,-0.0976201910250254,0.28461786174323733,0.21960990611848485,60.0,8520.6,96.0,55.0,True,True,True,True,True,Q1 Recommending + Buying
BSOFT,Birlasoft Ltd.,Information Technology,VST03275,-28.7,-33.9,-0.004284949116229342,0.0019342359767891004,0.24246771879483497,-0.01190697674418606,86.0,-81.5,3.0,3.0,True,True,True,True,False,Q2 Recommending + NOT buying
BLUEDART,Blue Dart Express Ltd.,Services,VST02338,-6.3,-27.4,-0.019742408573846126,-0.019841269841269882,0.09059633027522929,0.07342657342657333,25.0,44.5,1.0,2.0,True,True,True,False,True,Q3 NOT recommending + Buying (FM ahead of street)
BLUESTARCO,Blue Star Ltd.,Consumer Durables,VST02340,-9.5,-18.0,-0.1077885952712101,-0.10659898477157359,0.059428571428571386,0.03626639926464437,31.0,-108.1,18.0,16.0,True,True,True,False,False,Q4 Neither (NOT rec + NOT buy)
BRIGADE,Brigade Enterprises Ltd.,Realty,VST02362,-15.7,-37.8,-0.06792452830188689,0.06461086637298097,0.008480565371024706,0.12278281434765481,62.0,95.3,10.0,9.0,True,True,True,True,True,Q1 Recommending + Buying
MAPMYINDIA,C.E. Info Systems Ltd.,Information Technology,VST00295,-47.2,-55.8,-0.09376153562200074,-0.08163265306122447,-0.03428571428571425,0.0237068965517242,7.0,-1.9000000000000004,1.0,2.0,False,True,True,False,False,Q4 Neither (NOT rec + NOT buy)
CDSL,Central Depository Services (India) Ltd.,Financial Services,VST01338,-9.9,-25.6,-0.13338626439063117,-0.13498098859315588,-0.06730769230769229,0.059204440333024966,37.0,-111.69999999999999,4.0,7.0,False,True,True,False,False,Q4 Neither (NOT rec + NOT buy)
CIPLA,Cipla Ltd.,Healthcare,VST02448,-3.1,-12.8,-0.26435901363149017,-0.2670335927120896,-0.17477907139851312,0.022252069115725304,5.0,774.8000000000001,31.0,19.0,True,True,True,False,True,Q3 NOT recommending + Buying (FM ahead of street)
CLEAN,Clean Science and Technology Ltd.,Chemicals,VST00689,-11.3,-47.2,-0.1314308681672025,-0.13584905660377355,-0.08505154639175261,-0.010341261633919352,3.0,-33.8,3.0,2.0,False,True,True,False,False,Q4 Neither (NOT rec + NOT buy)
