sym,fy,sales,sales_src,pat,pat_src,networth,networth_src,total_assets,total_assets_src,total_debt,total_debt_src,capex
20MICRONS,2015,356.0,vistas,-2.0,vistas,71.0,vistas,333.0,vistas,165.0,vistas,
20MICRONS,2016,357.0,vistas,11.0,vistas,88.0,vistas,334.0,vistas,163.0,vistas,
20MICRONS,2017,392.0,vistas,16.0,vistas,125.0,vistas,363.0,vistas,152.0,vistas,
20MICRONS,2018,427.0,vistas,19.0,vistas,144.0,vistas,376.0,vistas,134.0,vistas,
20MICRONS,2019,480.0,vistas,25.0,vistas,168.0,vistas,404.0,vistas,124.0,vistas,
20MICRONS,2020,529.0,vistas,24.0,vistas,188.0,vistas,444.0,vistas,119.0,vistas,
20MICRONS,2021,484.0,vistas,23.0,vistas,215.0,vistas,452.0,vistas,104.0,vistas,
20MICRONS,2022,613.0,vistas,35.0,vistas,252.0,vistas,514.0,vistas,123.0,vistas,
20MICRONS,2023,702.0,vistas,42.0,vistas,294.0,vistas,523.0,vistas,108.0,vistas,
20MICRONS,2024,777.0,vistas,56.0,vistas,353.0,vistas,588.0,vistas,121.0,vistas,
20MICRONS,2025,913.0,vistas,62.0,vistas,430.0,vistas,715.0,vistas,165.0,vistas,
20MICRONS,2026,954.0,vistas,67.0,vistas,484.0,vistas,756.0,vistas,156.0,vistas,
21STCENMGM,2015,37.0,vistas,24.0,vistas,54.0,vistas,95.0,vistas,20.0,vistas,
21STCENMGM,2016,-6.0,vistas,-7.0,vistas,47.0,vistas,67.0,vistas,0.0,vistas,
21STCENMGM,2017,10.0,vistas,6.0,vistas,53.0,vistas,74.0,vistas,0.0,vistas,
21STCENMGM,2018,28.0,vistas,6.0,vistas,60.0,vistas,81.0,vistas,2.0,vistas,
21STCENMGM,2019,-2.0,vistas,-6.0,vistas,50.0,vistas,55.0,vistas,0.0,vistas,
21STCENMGM,2020,-31.0,vistas,-32.0,vistas,18.0,vistas,28.0,vistas,8.0,vistas,
21STCENMGM,2021,7.0,vistas,5.0,vistas,23.0,vistas,25.0,vistas,0.0,vistas,
21STCENMGM,2022,260.0,vistas,15.0,vistas,30.0,vistas,33.0,vistas,1.0,vistas,
21STCENMGM,2023,-9.0,vistas,-18.0,vistas,20.0,vistas,38.0,vistas,10.0,vistas,
21STCENMGM,2024,39.0,vistas,32.0,vistas,53.0,vistas,56.0,vistas,0.0,vistas,
21STCENMGM,2025,113.0,vistas,12.0,vistas,51.0,vistas,57.0,vistas,0.0,vistas,
21STCENMGM,2026,-17.0,vistas,-24.0,vistas,33.0,vistas,40.0,vistas,0.0,vistas,
360ONE,2014,,,40.91765727009666,legacy_rescaled,100.82692205081712,legacy_rescaled,163.90052464300717,legacy_rescaled,,,
360ONE,2015,,,99.15009157215214,legacy_rescaled,171.63178300298785,legacy_rescaled,502.1716074434344,legacy_rescaled,,,
360ONE,2016,,,103.37881598584646,legacy_rescaled,1139.4382256280398,legacy_rescaled,1350.3843225590238,legacy_rescaled,,,
360ONE,2017,,,86.47391531549869,legacy_rescaled,1273.4874284815567,legacy_rescaled,1961.0062771503176,legacy_rescaled,,,
360ONE,2018,1705.0,vistas,380.0,vistas,1863.0,vistas,9567.0,vistas,6966.0,vistas,
360ONE,2019,1578.0,vistas,375.0,vistas,2911.0,vistas,9763.0,vistas,6103.0,vistas,
360ONE,2020,1521.0,vistas,201.0,vistas,2991.0,vistas,13021.0,vistas,8838.0,vistas,
360ONE,2021,1654.0,vistas,369.0,vistas,2828.0,vistas,8739.0,vistas,5077.0,vistas,
360ONE,2022,2072.0,vistas,578.0,vistas,3024.0,vistas,10734.0,vistas,5808.0,vistas,
360ONE,2023,2057.0,vistas,658.0,vistas,3122.0,vistas,11191.0,vistas,6784.0,vistas,
360ONE,2024,2921.0,vistas,804.0,vistas,3450.0,vistas,15114.0,vistas,9472.0,vistas,
360ONE,2025,3684.0,vistas,1015.0,vistas,7065.0,vistas,19768.0,vistas,11160.0,vistas,
360ONE,2026,4362.0,vistas,1216.0,vistas,9836.0,vistas,27201.0,vistas,15931.0,vistas,
3BBLACKBIO,2015,19.0,vistas,0.0,vistas,10.0,vistas,25.0,vistas,8.0,vistas,
3BBLACKBIO,2016,17.0,vistas,0.0,vistas,10.0,vistas,24.0,vistas,8.0,vistas,
3BBLACKBIO,2017,16.0,vistas,1.0,vistas,11.0,vistas,26.0,vistas,9.0,vistas,
3BBLACKBIO,2018,23.0,vistas,3.0,vistas,18.0,vistas,30.0,vistas,6.0,vistas,
3BBLACKBIO,2019,23.0,vistas,5.0,vistas,22.0,vistas,36.0,vistas,6.0,vistas,
3BBLACKBIO,2020,29.0,vistas,8.0,vistas,32.0,vistas,45.0,vistas,4.0,vistas,
3BBLACKBIO,2021,227.0,vistas,114.0,vistas,132.0,vistas,194.0,vistas,2.0,vistas,
3BBLACKBIO,2022,81.0,vistas,32.0,vistas,153.0,vistas,192.0,vistas,3.0,vistas,
3BBLACKBIO,2023,62.0,vistas,26.0,vistas,194.0,vistas,214.0,vistas,2.0,vistas,
3BBLACKBIO,2024,74.0,vistas,32.0,vistas,223.0,vistas,248.0,vistas,1.0,vistas,
3BBLACKBIO,2025,96.0,vistas,48.0,vistas,269.0,vistas,296.0,vistas,0.0,vistas,
3BBLACKBIO,2026,142.0,vistas,60.0,vistas,325.0,vistas,378.0,vistas,3.0,vistas,
3IINFOLTD,2015,1344.0,vistas,-976.0,vistas,-416.0,vistas,2655.0,vistas,2510.0,vistas,
3IINFOLTD,2016,1126.0,vistas,-552.0,vistas,111.0,vistas,1342.0,vistas,925.0,vistas,
3IINFOLTD,2017,1004.0,vistas,94.0,vistas,178.0,vistas,1383.0,vistas,929.0,vistas,
3IINFOLTD,2018,991.0,vistas,71.0,vistas,251.0,vistas,1370.0,vistas,848.0,vistas,
3IINFOLTD,2019,1122.0,vistas,68.0,vistas,324.0,vistas,1492.0,vistas,894.0,vistas,
3IINFOLTD,2020,698.0,vistas,68.0,vistas,392.0,vistas,1529.0,vistas,902.0,vistas,
3IINFOLTD,2021,609.0,vistas,391.0,vistas,753.0,vistas,1486.0,vistas,569.0,vistas,
3IINFOLTD,2022,677.0,vistas,-57.0,vistas,704.0,vistas,960.0,vistas,119.0,vistas,
3IINFOLTD,2023,729.0,vistas,1.0,vistas,642.0,vistas,972.0,vistas,99.0,vistas,
3IINFOLTD,2024,814.0,vistas,-314.0,vistas,293.0,vistas,652.0,vistas,84.0,vistas,
3IINFOLTD,2025,726.0,vistas,25.0,vistas,307.0,vistas,573.0,vistas,64.0,vistas,
3IINFOLTD,2026,693.0,vistas,35.0,vistas,381.0,vistas,662.0,vistas,62.0,vistas,
3MINDIA,2000,110.65660198487149,legacy_rescaled,0.7802984748264363,legacy_rescaled,45.042217836708836,legacy_rescaled,107.17241082066235,legacy_rescaled,27.026347021125087,legacy_rescaled,-1.81
3MINDIA,2001,197.98181197419797,legacy_rescaled,10.82414038156672,legacy_rescaled,55.790360827710394,legacy_rescaled,150.9293122716064,legacy_rescaled,43.92404462378352,legacy_rescaled,-20.07
