code,hold_name,best,best_name,te,ratio,n,name_agree
1,Aditya Birla SL Equity Hybrid '95 Fund (G),150797,WhiteOak Capital Large Cap Fund Direct Plan Growth,0.00666,1.09,151,False
10070,Bandhan ELSS Tax Saver Fund (G),118473,BANDHAN ELSS Tax Saver Fund - Direct Plan - Growth,0.00532,1.84,151,True
10154,Quantum ELSS Tax Saver Fund - Direct (G),111549,Quantum ELSS Tax Saver Fund - Direct Plan Growth Option,0.00588,1.07,151,True
10163,Bank of India ELSS Tax Saver (G),119351,BANK OF INDIA ELSS Tax Saver -Direct Plan- Growth,0.00533,2.22,151,True
10207,Edelweiss ELSS Tax Saver Fund (G),118620,Edelweiss ELSS Tax Saver Fund - Direct Plan-Growth Option,0.00528,1.35,151,True
10249,Bank of India Conservative Hybrid Fund (G),148980,BANK OF INDIA Large Cap Fund Direct Plan Growth,0.0142,1.18,151,True
1027,Sundaram Equity Savings Fund (G),149570,Sundaram ELSS Tax Saver Fund Direct Plan Growth,0.00826,1.15,113,False
10291,Canara Robeco ELSS Tax Saver (IDCW),118285,CANARA ROBECO ELSS TAX SAVER - DIRECT PLAN - GROWTH OPTION,0.00374,2.25,151,True
10310,Taurus Ethical Fund - (G),118876,Taurus Ethical Fund - Direct Plan - Growth,0.00441,3.4,151,True
10452,ICICI Pru Focused Equity Fund (G),120722,ICICI Prudential Focused Equity Fund - Direct Plan - Growth,0.00561,1.59,151,True
10494,Edelweiss Large Cap Fund (G),118617,Edelweiss Large Cap Fund - Direct Plan-Growth option,0.00626,1.14,151,True
10630,Franklin Build India Fund (G),118557,Franklin Build India Fund - Direct - Growth,0.00427,3.28,151,True
1064,Sundaram Mid Cap Fund - (G),119581,Sundaram Mid Cap Fund Direct Plan - Growth,0.00281,4.27,151,True
10642,Invesco India Largecap Fund (G),120392,Invesco India Largecap Fund - Direct Plan - Growth,0.00296,2.89,151,True
10659,Kotak Flexi Cap Fund (G),120166,Kotak Flexicap Fund - Growth - Direct,0.00303,2.91,151,False
10661,Canara Robeco Consumer Trends Fund (G),118273,CANARA ROBECO CONSUMPTION FUND - DIRECT PLAN - GROWTH OPTION,0.00423,2.86,151,True
10666,Edelweiss Balanced Advantage Fund (G),150187,BARODA BNP PARIBAS LARGE CAP Fund - Direct Plan - Growth Option,0.00868,1.03,151,False
10668,SBI Small Cap Fund (G),125497,SBI Small Cap Fund - Direct Plan - Growth,0.00655,1.95,151,True
10674,Edelweiss Aggressive Hybrid Fund - Plan A (G),150187,BARODA BNP PARIBAS LARGE CAP Fund - Direct Plan - Growth Option,0.0089,1.07,151,False
10769,Invesco India PSU Equity Fund (G),120395,Invesco India PSU Equity Fund - Direct Plan - Growth,0.00394,5.49,151,True
10869,AXIS Large Cap Fund (G),120465,Axis Large Cap Fund - Direct Plan - Growth,0.00585,1.6,151,True
10876,HSBC Value Fund (G),151113,HSBC Value Fund - Direct Growth,0.00139,8.8,151,True
10915,AXIS ELSS Tax Saver Fund (G),120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,0.00242,5.16,151,True
10941,Bandhan Conservative Hybrid Fund (G),120656,UTI Large Cap Fund - Direct Plan - Growth Option,0.0185,1.02,151,False
10958,Bank of India Manufacturing & Infrastr Fund (G),119364,BANK OF INDIA Manufacturing & Infrastructure Fund-Direct Plan-Growth,0.00578,2.22,151,True
10968,Sundaram Conservative Hybrid Fund (G),148507,Sundaram Large Cap Fund (Formerly Known as Sundaram Blue Chip Fund)Direct Plan - Growth,0.00821,1.05,147,False
110,HDFC Large and Mid Cap Fund (G),130498,HDFC Large and Mid Cap Fund - Growth Option - Direct Plan,0.00479,1.59,151,True
1104,Aditya Birla SL Large Cap Fund (G),119528,Aditya Birla Sun Life Large Cap Fund - Growth - Direct Plan,0.00301,2.19,151,True
112,ICICI Pru Large & Mid Cap Fund - (G),120596,ICICI Prudential Large & Mid Cap Fund - Direct Plan - Growth,0.00388,3.17,151,True
1126,Aditya Birla SL Midcap Fund - (G),119620,Aditya Birla Sun Life Midcap Fund - Growth - Direct Plan,0.00459,2.75,151,True
11260,DSP Focused Fund - Regular (G),119096,DSP Focused Fund - Direct Plan - Growth,0.00424,3.27,151,True
11282,SBI PSU Fund (G),119732,SBI PSU Fund - DIRECT PLAN - GROWTH,0.00587,2.63,151,True
11289,AXIS Conservative Hybrid Fund (G),151471,NAVI ELSS TAX SAVER NIFTY 50 INDEX FUND - DIRECT PLAN GROWTH,0.00963,1.05,151,False
11293,Mirae Asset Large & Midcap Fund - Regular (G),118834,Mirae Asset Large & Midcap Fund - Direct Plan - Growth,0.00244,3.08,151,True
11349,Navi Conservative Hybrid Fund (G),135654,Navi ELSS Tax Saver Fund- Direct Plan- Growth Option,0.01511,1.01,136,False
11406,AXIS Multi Asset Allocation Fund - Regular (G),150571,Sundaram Flexicap Fund Direct Growth,0.01011,1.1,151,False
11436,Canara Robeco Large Cap Fund (G),118269,CANARA ROBECO LARGE CAP FUND - DIRECT PLAN - GROWTH OPTION,0.00343,1.81,151,True
11524,Nippon India Small Cap Fund (G),118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,0.00509,1.0,151,True
1156,ICICI Pru Multi-Asset Fund (G),120596,ICICI Prudential Large & Mid Cap Fund - Direct Plan - Growth,0.0121,1.07,151,False
1169,Canara Robeco Conservative Hybrid Fund (G),148883,Canara Robeco Focused Fund - Direct Plan - Growth Option,0.00887,1.19,151,True
1179,HSBC Large Cap Fund (G),120030,HSBC Large Cap Fund - Direct Growth,0.00273,3.0,151,True
118,ICICI Pru Multicap Fund - (G),120599,ICICI Prudential Multicap Fund - Direct Plan -  Growth,0.00444,2.18,151,True
11874,Sundaram Balanced Advantage Fund (G),150797,WhiteOak Capital Large Cap Fund Direct Plan Growth,0.0066,1.29,151,False
119,ICICI Pru ELSS Tax Saver Fund - (G),120592,ICICI Prudential ELSS Tax Saver Fund - Direct Plan - Growth,0.00302,3.24,151,True
12049,HSBC Aggressive Hybrid Fund (G),146772,HSBC Large & Mid Cap Fund - Direct Growth,0.01139,1.05,151,False
12051,HSBC Balanced Advantage Fund (G),152071,WhiteOak Capital Multi Cap Fund Direct Plan Growth,0.01169,1.0,151,False
1206,PGIM India Large Cap Fund (G),138312,PGIM India Large Cap Fund - Direct Plan - Growth,0.00519,1.61,151,True
121,Nippon India Growth Mid Cap Fund - (G),118668,Nippon India Growth Mid Cap Fund - Direct Plan Growth Plan - Growth Option,0.0037,1.0,151,True
12106,AXIS Midcap Fund (G),120505,Axis Midcap Fund - Direct Plan - Growth,0.00721,1.56,151,True
1212,Aditya Birla SL Dividend Yield Fund (G),152045,Mahindra Manulife Business Cycle Fund - Direct Plan - Growth,0.01343,1.18,151,False
12171,Bandhan Infrastructure Fund (G),118469,BANDHAN Infrastructure Fund-Direct Plan-Growth,0.004,4.34,151,True
12173,LIC MF Equity Savings Fund - Regular (G),151368,Axis Business Cycles Fund - Direct Plan - Growth,0.0127,1.11,151,False
1223,Kotak Large Cap Fund (IDCW),120152,Kotak Large Cap  Fund - Growth - Direct,0.00237,3.07,150,True
1227,DSP Large Cap Fund - Regular (G),119250,DSP Large Cap Fund - Direct Plan - Growth,0.00356,2.84,151,True
12421,Mirae Asset Great Consumer Fund (G),150266,BARODA BNP PARIBAS India Consumption Fund - Direct Plan - Growth Option,0.00993,1.16,151,False
126,Nippon India Vision Large & Mid Cap Fund - (G),118675,Nippon India Vision Large & Mid Cap Fund - Direct Plan Growth Plan - Bonus Option,0.00239,1.01,151,True
12741,Union Flexi Cap Fund (G),150346,WhiteOak Capital Flexi Cap Fund Direct Plan-Growth,0.00708,1.08,150,True
13358,HSBC Equity Savings Fund (G),151078,HSBC ELSS Tax saver Fund - Direct Growth,0.01479,1.09,151,False
13420,Tata Retirement Savings Fund - Progressive (G),151824,Canara Robeco Multi Cap Fund - Direct Plan - Growth Option,0.00786,1.4,151,False
13421,Tata Retirement Savings Fund - Moderate (G),151824,Canara Robeco Multi Cap Fund - Direct Plan - Growth Option,0.00811,1.29,151,False
13422,Tata Retirement Savings Fund - Conservative (G),151824,Canara Robeco Multi Cap Fund - Direct Plan - Growth Option,0.00661,1.55,151,False
13528,Union ELSS Tax Saver Fund - Regular (G),119307,Union ELSS Tax Saver Fund - Direct Plan - Growth Option,0.00329,2.11,150,True
1363,UTI-Master Equity Plan Unit Scheme,151471,NAVI ELSS TAX SAVER NIFTY 50 INDEX FUND - DIRECT PLAN GROWTH,0.00757,1.01,151,False
1377,Nippon India Banking&Financial Services (G),118588,Nippon India Banking & Financial Services Fund - Direct Plan Growth Plan - Bonus Option,0.00359,1.0,151,True
14011,Groww Large Cap Fund (G),119133,Groww Largecap Fund (formerly known as Indiabulls Blue Chip Fund) - Direct Plan - Growth Option,0.00579,1.56,151,False
14756,Taurus Banking & Financial Services Fund (G),118868,Taurus Banking & Financial Services Fund - Direct Plan - Growth,0.00544,1.88,151,True
148,Tata Aggressive Hybrid Fund - Regular (G),150797,WhiteOak Capital Large Cap Fund Direct Plan Growth,0.00952,1.02,151,False
1487,Baroda BNP Paribas Multi Cap Fund-Reg (G),119354,Baroda BNP Paribas MULTI CAP FUND - Direct Plan - Growth Option,0.0045,2.11,151,True
1491,Canara Robeco Flexi Cap Fund (G),118275,CANARA ROBECO FLEXICAP FUND - DIRECT PLAN - GROWTH OPTION,0.00329,2.01,151,True
14984,Baroda BNP Paribas Banking&Fin Serv Fund-Reg (G),119333,Baroda BNP Paribas Banking and Financial Services Fund - Direct - Growth Option,0.00625,1.52,151,True
14988,AXIS Focused Fund - Regular (G),120468,Axis Focused Fund - Direct Plan - Growth Option,0.00446,3.07,151,True
1508,Tata Equity Saving Fund - (App),151165,360 ONE ELSS Tax Saver Nifty 50 Index Fund - Direct Plan - Growth,0.01183,1.03,151,False
1509,Templeton India Value Fund - (G),118494,Templeton India Value Fund - Direct - Growth,0.00512,2.6,151,True
151,Tata Ethical Fund - (G),119172,Tata Ethical Fund -Direct Plan- Growth Option,0.00349,3.61,151,True
153,Tata Large Cap Fund - Regular (G),119160,Tata Large Cap Fund -Direct Plan Growth Option,0.00266,3.28,151,True
