bbg_ticker,nse_symbol,n_months,rho,med_abs_gap
2299371D IN Equity,INNOIND,60,0.9994583480083524,0.0
360ONE IN Equity,360ONE,75,0.9990152053690743,0.0
3M IN Equity,3MINDIA,251,0.999674852432688,0.0
5PAISA IN Equity,5PAISA,97,0.9479281207315301,0.0
63MOONS IN Equity,63MOONS,246,0.9997393244466479,0.0
AAB IN Equity,ASALCBR,70,0.9999932214669296,0.0
AACL IN Equity,ALKYLAMINE,217,0.9887222938343843,0.0
AARTIPHA IN Equity,AARTIPHARM,35,0.9997249801000327,0.0
AARTISUR IN Equity,AARTISURF,65,0.999854408728163,0.0
AAVAS IN Equity,AAVAS,86,0.9976561766010925,0.0
ABAN IN Equity,ABAN,232,0.9946993769195227,0.0
ABB IN Equity,ABB,251,0.8714766998441223,0.0
ABCAP IN Equity,ABCAPITAL,99,0.9999411966512601,0.0
ABFRL IN Equity,ABFRL,149,0.9981594385645877,0.0
ABNL IN Equity,ABIRLANUVO,139,0.9975263219020274,0.0
ABREL IN Equity,ABREL,251,0.9977817513161121,0.0
ABSLAMC IN Equity,ABSLAMC,50,0.9937739050442942,0.0
ACC IN Equity,ACC,251,0.9977004024802095,0.0
ACCE IN Equity,ACE,231,0.9998451558518985,0.0
ACCELYA IN Equity,ACCELYA,251,0.9991911697179198,0.0
ACEM IN Equity,AMBUJACEM,221,0.9996206055121986,0.0
ACI IN Equity,ACI,37,0.9810839273031862,0.0
ACLGATI IN Equity,ACLGATI,229,0.9999288940397794,0.0
ACML IN Equity,AMBIKCO,215,0.9983737145588848,0.0
ACUTAAS IN Equity,ACUTAAS,51,0.9995984734337584,0.0
ADANI IN Equity,ADANIPOWER,196,0.9998760807037317,0.0
ADANIENS IN Equity,ADANIENSOL,125,0.9999595857948198,0.0
ADANIGR IN Equity,ADANIGREEN,90,0.999950699026101,0.0
ADCH IN Equity,AKSHARCHEM,105,0.9997008956176229,0.0
ADE IN Equity,ADANIENT,231,0.9976815124766492,0.0
ADFL IN Equity,ADFFOODS,183,0.9987068736926039,0.0001
ADML IN Equity,ADHUNIK,163,0.9999149735297781,0.0
ADOR IN Equity,ADOR,251,0.9993036397630171,0.0
ADSEZ IN Equity,ADANIPORTS,217,0.9991310705076234,0.0
ADV IN Equity,ADVANTA,111,0.9999985133863329,0.0
ADVENZY IN Equity,ADVENZYMES,112,0.9978414554868908,0.0
AEGISLOG IN Equity,AEGISLOG,251,0.9996397134625786,0.0001
AEROFLEX IN Equity,AEROFLEX,28,0.9901604074834953,0.0
AETHER IN Equity,AETHER,42,0.9999342561240759,0.0
AFFLE IN Equity,AFFLE,76,0.9984782451396752,0.0
AGIG IN Equity,AGI,200,0.9986649330810182,0.0
AGLL IN Equity,ALLCARGO,234,0.9861292347558076,0.0005
AGSTRA IN Equity,AGSTRA,47,0.9999903627279516,0.0
AGVENTUR IN Equity,OCCL,114,0.9999574898667448,0.0
AHLU IN Equity,AHLUCONT,192,0.9999270754572451,0.0
AHWL IN Equity,AHLWEST,142,0.9992583469540457,0.0
AIAE IN Equity,AIAENG,240,0.9987966768522075,0.0
AIFL IN Equity,AIFL,49,0.9996596385890107,0.0
AISG IN Equity,ASAHIINDIA,251,0.9988794479012371,0.0
AJP IN Equity,AJANTPHARM,251,0.9726286625149436,0.0
AJRINFRA IN Equity,AJRINFRA,186,0.9999120251382415,0.0
AKZO IN Equity,JSWDULUX,187,0.9917046493330026,0.0
AL IN Equity,ASHOKLEY,251,0.9978093850940758,0.0001
ALBC IN Equity,ALEMBICLTD,251,0.8962013341259918,0.0001
ALBK IN Equity,ALBK,182,0.9999227488169737,0.0
ALIC IN Equity,ALICON,177,0.9742523620540054,0.0
ALIVUS IN Equity,ALIVUS,52,0.9991873732099606,0.0
ALKEM IN Equity,ALKEM,120,0.9992444331565081,0.0
ALLDIGI IN Equity,ALLDIGI,247,0.9941690607177948,0.0
ALPM IN Equity,APLLTD,171,0.9994765342063355,0.0
AMBER IN Equity,AMBER,95,0.9996118946704488,0.0
ANANDRAT IN Equity,ANANDRATHI,48,0.9965305794978954,0.0
ANDB IN Equity,ANDHRABANK,182,0.9998119628422982,0.0
ANGELONE IN Equity,ANGELONE,62,0.9982590983824668,0.0
ANHPR IN Equity,ANDHRAPAP,251,0.9962298265507105,0.0001
ANTELOPU IN Equity,ANTELOPUS,231,0.9998106517895473,0.0
ANUP IN Equity,ANUP,81,0.9999642430557623,0.0
ANURAS IN Equity,ANURAS,57,0.9999431604149805,0.0
AOS IN Equity,ASIANENE,48,0.9994479251288977,0.0
APAT IN Equity,APLAPOLLO,168,0.9962178928312093,0.0
APCO IN Equity,APCOTEXIND,229,0.99593672330381,0.0
APEX IN Equity,APEX,99,0.9996610874621832,0.0
APHS IN Equity,APOLLOHOSP,251,0.9994592843626913,0.0
APNT IN Equity,ASIANPAINT,251,0.9995309775510692,0.0
APOLLO IN Equity,APOLLO,95,0.9970705847428553,0.0001
APOLP IN Equity,APOLLOPIPE,73,0.9998211817230097,0.0
APR IN Equity,APARINDS,251,0.9921588780683331,0.0
APTR IN Equity,APTECHT,251,0.9996587517245779,0.0
APTUS IN Equity,APTUS,52,0.996959552460894,0.0
APTY IN Equity,APOLLOTYRE,251,0.889623974726557,0.0
ARBP IN Equity,AUROPHARMA,251,0.9994170526431568,0.0
ARCP IN Equity,ANANTRAJ,231,0.9485445792341264,0.0001
ARENM IN Equity,ARE&M,251,0.9997937344512398,0.0
ARGL IN Equity,ARROWGREEN,127,0.9996096859536586,0.0
ARIE IN Equity,ARIES,215,0.9998728382796329,0.0
ARJN IN Equity,AMRUTANJAN,193,0.999815393221707,0.0
ARLF IN Equity,ARMANFIN,114,0.9994999776879693,0.0
ARSL IN Equity,ARSHIYA,192,0.9987305635440443,0.0
ARSU IN Equity,ARIHANTSUP,105,0.9994795029128329,0.0
ARTD IN Equity,AARTIDRUGS,251,0.9994546117269782,0.0001
ARTMSL IN Equity,ARTEMISMED,71,0.9994570885932741,0.0
ARTO IN Equity,AARTIIND,251,0.9678702232292585,0.0001
ARVINDFA IN Equity,ARVINDFASN,81,0.9992877246028665,0.0
ARVND IN Equity,ARVIND,209,0.9999807192819589,0.0
ARVSMART IN Equity,ARVSMART,124,0.9999680063498998,0.0
ASBL IN Equity,ASHOKA,182,0.96219916956083,0.0
ASFI IN Equity,ASHIANA,174,0.9987343085341609,0.0
ASG IN Equity,ANDHRSUGAR,251,0.9991997836475168,0.0001
ASIAN IN Equity,ASIANTILES,220,0.9914164244906419,0.0
ASKAUTOL IN Equity,ASKAUTOLTD,25,0.998763941736213,0.0
ASMN IN Equity,ASHAPURMIN,251,0.9982747640166785,0.0
ASTEL IN Equity,ASTEC,193,0.9695330112890865,0.0
ASTERDM IN Equity,ASTERDM,94,0.999983505406126,0.0
ASTM IN Equity,ASTRAMICRO,251,0.9658606304883486,0.0
ASTR IN Equity,ASTRAZEN,224,0.9997573297536436,0.0
ASTRA IN Equity,ASTRAL,225,0.9999074588534809,0.0
ATA IN Equity,ATULAUTO,150,0.999862007273574,0.0
ATGL IN Equity,ATGL,85,0.9997370463794447,0.0
ATL IN Equity,ATL,28,0.9955840326614629,0.0001
ATLP IN Equity,ATUL,249,0.9995682807041899,0.0
ATXL IN Equity,AUTOAXLES,251,0.9994195131294786,0.0
AUBANK IN Equity,AUBANK,101,0.9997772489554029,0.0
AUPS IN Equity,AURIONPRO,242,0.9956193749878183,0.0
AURUM IN Equity,AURUM,124,0.9045820692701164,0.0002
AVADHSUG IN Equity,AVADHSUGAR,101,0.9998501345647891,0.0
AVALON IN Equity,AVALON,32,0.9999584718263423,0.0
AVNT IN Equity,AVANTIFEED,190,0.9951115463756013,0.0
AWHCL IN Equity,AWHCL,59,0.9965807517606591,0.0
AWL IN Equity,AWL,46,0.9986433348496893,0.0
AXET IN Equity,AXISCADES,244,0.9995611098182628,0.0
AXSB IN Equity,AXISBANK,220,0.9977166838525146,0.0
AZAD IN Equity,AZAD,24,0.9992569901594246,0.0
BAF IN Equity,BAJFINANCE,183,0.9975758557995562,0.0
BAJAJCON IN Equity,BAJAJCON,184,0.9998498213850007,0.0
BAJAJHEA IN Equity,BAJAJHCARE,49,0.9999870995788249,0.0
BAJEL IN Equity,BAJEL,24,0.9987260672027517,0.0
BANDHAN IN Equity,BANDHANBNK,93,0.9998259468856616,0.0
BASF IN Equity,BASF,251,0.9996069667803237,0.0
BATA IN Equity,BATAINDIA,251,0.9976223716602983,0.0
BBOX IN Equity,BBOX,186,0.9995197907710269,0.0001
BBTC IN Equity,BBTC,251,0.9996504385697673,0.0
BCORP IN Equity,BIRLACORPN,209,0.9998435236685189,0.0
BD IN Equity,BOMDYEING,251,0.999166094212319,0.0
BDE IN Equity,BLUEDART,251,0.9998328556284699,0.0
BDL IN Equity,BDL,93,0.9996162876994631,0.0
