final_isin,bbg_ticker,bbg_name,vst_id,nse_symbol,our_name,status
INE852S01026,1319044D IN Equity,Chennai Super Kings Cricket Ltd,,,,valid_isin_not_in_master
INE671B01034,1366Z IN Equity,Globsyn Technologies Ltd,,,,valid_isin_not_in_master
Unlisted,1513149D LN Equity,Reconstruction Capital II Ltd,,,,unlisted_or_invalid
INE612601018,1749715D IN Equity,Sri Venkatesha Milling Industrial Pvt Ltd,,,,valid_isin_not_in_master
INE549I01011,2299371D IN Equity,Innoventive Industries Ltd,VST03059,INNOIND,,resolved_vst
INE24OJ01011,2335895D IN Equity,Shankara Buildpro Ltd,VST00707,BUILDPRO,SHANKARA BUILDPRO LIMITED,resolved_vst
INE871D01010,287216Z IN Equity,Infrastructure Leasing & Financial Services Ltd,,,,valid_isin_not_in_master
INE466L01038,360ONE IN Equity,360 ONE WAM Ltd,VST00989,360ONE,360 ONE WAM LIMITED,resolved_vst
INE470A01017,3M IN Equity,3M India Ltd,VST02008,3MINDIA,3M INDIA LIMITED,resolved_vst
INE618L01018,5PAISA IN Equity,5Paisa Capital Ltd,VST01192,5PAISA,5PAISA CAPITAL LIMITED,resolved_vst
INE111B01023,63MOONS IN Equity,63 Moons Technologies Ltd,VST02684,63MOONS,63 MOONS TECHNOLOGIES LTD,resolved_vst
INE073G01016,AAB IN Equity,Associated Alcohols & Breweries Ltd,VST00209,ASALCBR,ASSO ALCOHOLS & BREW LTD,resolved_vst
INE150B01039,AACL IN Equity,Alkyl Amines Chemicals,VST02077,ALKYLAMINE,ALKYL AMINES CHEM. LTD,resolved_vst
INE883F01010,AADHARHF IN Equity,Aadhar Housing Finance Ltd,VST01531,AADHARHFC,AADHAR HOUSING FINANCE L,resolved_vst
INE0LRU01027,AARTIPHA IN Equity,Aarti Pharmalabs Ltd,VST00399,AARTIPHARM,AARTI PHARMALABS LIMITED,resolved_vst
INE09EO01013,AARTISUR IN Equity,Aarti Surfactants Ltd,VST00268,AARTISURF,AARTI SURFACTANTS LIMITED,resolved_vst
INE216P01012,AAVAS IN Equity,Aavas Financiers Ltd,VST00661,AAVAS,AAVAS FINANCIERS LIMITED,resolved_vst
INE421A01028,ABAN IN Equity,Aban Offshore Ltd,VST02014,ABAN,ABAN OFFSHORE LTD.,resolved_vst
INE117A01022,ABB IN Equity,ABB India Ltd,VST02017,ABB,ABB INDIA LIMITED,resolved_vst
INE674K01013,ABCAP IN Equity,Aditya Birla Capital Ltd,VST01265,ABCAPITAL,ADITYA BIRLA CAPITAL LTD.,resolved_vst
