co_code,vst_id,id_conf,vid_name,nse_symbol
66008,VST00989,high,360 ONE WAM Ltd,360ONE
2096,VST02008,high,3M India Ltd,3MINDIA
68848,VST01192,high,5Paisa Capital Ltd,5PAISA
4756,VST02684,high,63 Moons Technologies Ltd,63MOONS
45828,VST00661,high,AAVAS Financiers Ltd,AAVAS
242,VST02017,high,ABB India Ltd,ABB
6,VST02028,high,ACC Ltd,ACC
71636,VST01201,high,ACME Solar Holdings Ltd,ACMESOLAR
2416,VST02035,high,ADF Foods Ltd,ADFFOODS
250,VST02957,high,AGI Greenpac Ltd,AGI
40452,VST01153,high,AGS Transact Technologies Ltd,AGSTRA
22825,VST02058,high,AIA Engineering Ltd,AIAENG
24705,VST02721,high,AJR Infra & Tolling Ltd,AJRINFRA
12334,VST01292,high,APL Apollo Tubes Ltd,APLAPOLLO
42712,VST01026,high,ASK Automotive Ltd,ASKAUTOLTD
34695,VST01614,high,AU Small Finance Bank Ltd,AUBANK
77804,VST00495,high,AWFIS Space Solutions Ltd,AWFIS
20696,VST01290,high,AWL Agri Business Ltd,AWL
21304,VST02216,high,AXISCADES Technologies Ltd,AXISCADES
14236,VST01531,high,Aadhar Housing Finance Ltd,AADHARHFC
2975,VST02011,high,Aarti Drugs Ltd,AARTIDRUGS
2378,VST02012,high,Aarti Industries Ltd,AARTIIND
75909,VST00399,high,Aarti Pharmalabs Ltd,AARTIPHARM
73396,VST00268,high,Aarti Surfactants Ltd,AARTISURF
59662,VST00661,high,Aawas Finance Ltd,AAVAS
1093,VST02014,high,Aban Offshore Ltd,ABAN
90,VST02019,high,Abbott India Ltd,ABBOTINDIA
14927,VST03192,review,Accelya Solutions India Ltd,ACCELYA
27338,VST02029,high,Action Construction Equipment Ltd,ACE
73056,VST00019,high,Ami Organics Ltd,ACUTAAS
66273,VST01593,high,Adani Energy Solutions Ltd,ADANIENSOL
4244,VST02032,high,Adani Enterprises Ltd,ADANIENT
70666,VST00854,high,Adani Green Energy Ltd,ADANIGREEN
21281,VST03494,review,Adani Ports & Special Economic Zone Ltd,ADANIPORTS
71720,VST02034,high,Adani Power (Mundra) Ltd,ADANIPOWER
17808,VST02034,high,Adani Power Ltd,ADANIPOWER
39108,VST00898,high,Adani Total Gas Ltd,ATGL
27257,VST02036,high,Adhunik Metaliks Ltd,ADHUNIK
40903,VST01265,high,Aditya Birla Capital Ltd,ABCAPITAL
40912,VST01232,high,Aditya Birla Fashion & Retail Ltd,ABFRL
92996,VST00555,high,Aditya Birla Lifestyle Brands Ltd,ABLBL
285,VST02025,high,Aditya Birla Nuvo Ltd(Merged),ABIRLANUVO
40905,VST01265,high,Aditya Birla PE Advisors Pvt Ltd,ABCAPITAL
107,VST02418,review,Century Textiles & Industries Ltd,ABREL
20665,VST00902,high,Aditya Birla Sun Life AMC Ltd,ABSLAMC
43524,VST01449,high,Aditya Infotech Ltd,CPPLUS
69335,VST01270,high,Aditya Vision Ltd,AVL
799,VST02039,high,Ador Welding Ltd,ADOR
19816,VST01469,high,Advanced Enzyme Technologies Ltd,ADVENZYMES
1467,VST02041,high,Advani Hotels & Resorts (India) Ltd,ADVANIHOTR
23457,VST02043,high,Advanta Ltd(Merged),ADVANTA
